,—éŽ­Žs,0
150,1221,1191.0416666666667
151,1152,1098.1566666666668
152,1049,1031.7630000000001
153,1069,1120.51
154,1215,1118.5033333333333
155,1437,1377.928611111111
156,1627,1571.3829999999998
157,1852,1591.3666666666666
158,1894,1751.5566666666666
159,1786,1683.806
160,1559,1506.5821296296294
161,1254,1218.5969444444438
162,1045,1031.2029285714286
163,868,815.9733333333334
164,715,722.2316666666667
165,708,740.586611111111
166,823,1005.3133333333334
167,1062,1163.09
168,1434,1574.2233333333334
169,1406,1424.062222222222
170,1323,1439.2866666666666
171,1252,1196.9733333333334
172,1221,1044.09
173,1195,1179.8822222222223
174,1170,1103.78
175,1141,1055.704722222222
176,1031,1020.19
177,1032,1036.9866666666667
178,1138,1122.9333333333334
179,1423,1382.2610873015874
180,1558,1627.6433333333334
181,1732,1704.0966666666666
182,1804,1828.55
183,1694,1669.72
184,1480,1493.9233333333334
185,1279,1249.09
186,1044,1022.7766666666666
187,853,822.4366666666666
188,704,732.15
189,699,736.7098888888889
190,714,876.67
191,830,1388.83
192,1085,1523.0416666666667
193,1289,1562.6233333333332
194,1271,1249.95
195,1209,1297.05
196,1180,1205.84
197,1185,1153.2
198,1183,1102.06
199,1122,1044.11
200,1041,952.07
201,1086,1066.3333333333333
202,1209,1209.0183333333334
203,1428,1638.2666666666667
204,1640,1631.19
205,1705,1851.9783333333332
206,1773,1882.0258333333334
207,1632,1800.2433333333333
208,1409,1691.36
209,1238,1283.830888888889
210,1053,1011.4266666666666
211,862,1011.3833333333333
212,703,712.0166666666667
213,616,798.5472857142857
214,659,908.14
215,754,1260.3833333333334
216,947,1575.2166666666667
217,1195,1347.67
218,1235,1276.2666666666667
219,1200,1154.8433333333332
220,1131,1112.42
221,1167,1032.59
222,1173,1142.1566666666668
223,1134,980.8466666666667
224,1122,963.4366666666666
225,1144,1062.2933333333333
226,1311,1162.89
227,1505,1395.5833333333333
228,1690,1726.29
229,1862,1703.9033333333334
230,1946,1857.2055555555557
231,1783,431.53333333333336
232,1546,1676.04
233,1267,1343.3533333333332
234,1048,1008.7366666666667
235,866,864.0533333333333
236,732,813.3966666666666
237,727,747.1933333333334
238,864,906.4844444444445
239,1147,1313.56
240,1566,1563.4266666666667
241,1471,1607.5033333333333
242,1349,1470.5833333333333
243,1251,1258.9533333333334
244,1208,1251.74
245,1242,1168.5866666666666
246,1145,1129.18
247,1113,1036.7066666666667
248,1030,1022.37
249,1019,1125.7544444444443
250,1143,1194.7666666666667
251,1469,1400.8766666666668
252,1649,1604.4094444444445
253,1810,1735.88
254,1945,1803.98
255,1755,1735.1
256,1523,1493.7566666666667
257,1251,1214.0033333333333
258,1037,1036.5616666666667
259,865,813.5966666666667
260,722,726.9
261,739,717.8085555555556
262,853,822.3947222222222
263,1144,1287.2233333333334
264,1520,1660.5983333333334
265,1488,1581.7984444444444
266,1331,1401.1083333333333
267,1225,1460.6666666666667
268,1155,1218.1433333333334
269,1108,1091.5538888888889
270,1143,1050.7533333333333
271,1027,1034.3933333333334
272,1005,1046.57
273,1010,1027.4786111111111
274,1133,1218.2333333333333
275,1412,1419.9493333333332
276,1674,1582.59
277,1834,1838.83
278,1944,1938.83
279,1743,1685.14
280,1489,1530.8041666666666
281,1245,1271.8166666666666
282,1028,1018.1
283,865,853.0083333333333
284,737,766.4033333333333
285,739,766.9466666666667
286,854,922.5933333333334
287,1114,1300.2536666666667
288,1471,1663.2466666666667
289,1439,1527.61
290,1288,1283.4166666666667
291,1190,1341.7666666666667
292,1135,1131.8211111111111
293,1135,1221.5933333333332
294,1086,1177.96
295,1049,1118.42
296,1022,1053.1326666666669
297,983,1030.8966666666668
